Margaret Thatcher,'Iron Lady',British Prime Minister,Conservative Party leader
Julius Caesar,Roman Emperor,General,Assassinated
Waldo/Wally,Striped,Hidden,Elusive
Justin Timberlake,Pop star,Former *NSYNC member,Actor
Usain Bolt,Olympic athlete,Record-breaker,Sprinter
Dame Judi Dench,Actress,Oscar winner,Regal
"People who call spaghetti ""pasketti""",Mispronunciation,Childlike,Annoying
Billie Eilish,Singer-songwriter,Grammy winner,Dark aesthetic
Elmer Fudd,Looney Tunes character,Hunter,Rabbit stalker
Lara Croft,Tomb Raider character,Archaeologist,Dual pistols
Yoda,Jedi Master,Star Wars character,Wise teacher
Alexander Hamilton,U.S. Founding Father,Treasury Secretary,Orphan
The Dalai Lama,Spiritual leader,Nobel Peace Prize recipient,Exiled leader of Tibet
Emma Watson,UN ambassador,Feminist,Actress
Marilyn Monroe,Hollywood icon,Actress,Model
Matilda,Roald Dahl character,Child prodigy,Telekinetic abilities
Bill Nye The Science Guy,Science communicator,TV host,Engineer
Queen Elizabeth II,British monarch,Longest reigning queen,Corgi lover
Grumpy Cat,Internet sensation,Upset,Meme icon
Schrödinger's Cat ,Paradoxical,Alive and dead,Quantum physics concept
A clown,Funny,Costumed,Entertainer
An unpaid intern,Underappreciated,Hardworking,Inexperienced
A substitute teacher,Temporary,Adaptable,Gullible
Multitudes of children,Loud,Energetic,Curious
Daenerys Targaryen,Game of Thrones character,'Mother of Dragons',Powerful
"My girlfriend, she goes to another school.",Imaginary,Mysterious,Absent
Elton John,Flamboyant,Pianist,Rocketman
The Tooth Fairy,Magical,Generous,Mysterious
Barbie,Fashionable,Popular,Plastic
Jack Black,Goofy,Musical,Comedic
Daffy Duck,Wacky,Looney,Greedy
The monster under your bed,Fearsome,Sneaky,Ankle-grabber
A bear,Ferocious,Imposing,Grrr
My best friend,Loyal,Supportive,Fun
Abraham Lincoln,16th US President,Emancipation  Proclamation,Assassinated
Big Bird,Sesame Street character,Yellow,Flightless
The FBI,Federal law enforcement agency,Investigates crimes,Secretive
Moana,Disney character,Ocean,Determined
Gandhi,Nonviolent,India,Independence
Sarah Connor,The Terminator,Resistance,Linda Hamilton
Boomers,Traditional,Retirement,Opinionated
A police officer,Law enforcement,Uniformed,'Protect and Serve'
Puss in Boots,Charming,Cunning,Deadly
Marge Simpson,Blue hair,Mother,Springfield
LeBron James,Basketball player,Unstoppable,Philanthropic
The Incredibles,Superheroes,Family,Powers
Mulan,Brave,Loyal,Independent
Barry B. Benson,Bee,Adventurous,Likes jazz
Princess Diana,Royalty,Humanitarian,Tragedy
Malcolm X,Civil rights,Activist,Nation of Islam
Michael Scott,The Office character,Inappropriate,Immature
My ex-husband,Divorce,Dishonest,Lessons
Joseph Stalin,Dictator,Soviet Union,Brutal
A girl scout,Cookies,Resourceful,Badges
Serena Williams,Tennis,Athlete,Champion
Simone Biles,Olympic gymnast,Brave,Consistent
Danny DeVito,Actor,Comedian,Short
Musical theatre kids,Dramatic,Energetic,Harmonies
An Uber driver,Navigation,Courteous,On-demand
Beyoncé,Singer,Dancer,'Queen B'
Sherlock Holmes,Detective,Baker Street,Brilliant
Frida Kahlo,Painter,Self-portraits,Mexican culture
Ernest Hemingway,Author,The Old Man and the Sea',Pulitzer Prize
Bob Ross,Painter,'The Joy of Painting',Happy little trees
Charles Darwin,Theory of evolution,Biologist,Science
Jane Austen,Novelist,Romance,Classic literature
Scary Spice,Spice Girls,Singer,Fearless
The Lorax,Dr. Seuss character,Environmentalist,Truffula trees
Miley Cyrus,Pop star,Actress,Hannah Montana
Neil Armstrong,Astronaut,Moon landing,One small step
Betty White,Actress,Comedian,Golden Girls
Pikachu,Pokémon,Electric,Yellow
Jessica Rabbit,Seductive,Sultry,Animated
Snoop Dogg,Rapper,Marijuana,West Coast
The Cat in the Hat,Mischievous,Playful,Unpredictable
Mr. Bean,Silent,Bumbling,Endearing
Mr. Krabs,Greedy,SpongeBob  character,Crustacean
Buffy,Vampire Slayer,Determined,Fearless
Wonder Woman,DC Comics superhero,Amazonian,Lasso of Truth
Santa's Elves,Hardworking,Loyal,Festive
Florence Pugh,Actress,Little Women,Midsommar
RuPaul,'Queen of Drag',Reality TV,Supermodel
Nicki Minaj,Rapper,Singer,Songwriter
Selena Gomez,Singer,Actress,Disney
Malala Yousafzai,Activist,Nobel Prize winner,Education
Spider-Man,Superhero,Spider-Verse,New York
Adele,Singer,Grammy,English
A Xenomorph,Deadly,Terrifying,Alien
The Stay Puft Marshmallow Man,Ghostbusters,Giant,Monster
Minnie Mouse,Disney,Bow,Cheerful
The Doctor (Doctor Who),Time Lord,TARDIS,Regeneration
Miss Piggy,Sassy,Flamboyant,Muppet
Winnie-the-Pooh,Honey,Bear,Christopher Robin
The cool aunt,Hip,Carefree,Supportive
Laika the space dog,First dog in space,Soviet,Sputnik 2
Vincent van Gogh,Painter,'The Starry Night',Sunflowers
Ed Sheeran,Singer-songwriter,Eclectic,Loop pedal
