The first Starbucks to open outside of North America opened where?,Japan
Where did Luke Skywalker grow up before becoming a Jedi?,Tatooine
What is the holiest shrine in Islam?,The Kaaba in Mecca
Where do the Greek gods live?,Mount Olympus
"According to the Bible, where was the Tower of Babel built?",Babylon
Where was Leonardo Da Vinci born?,Vinci
Where was London Bridge relocated to in 1969?,Arizona
Where does the book series 'Twilight' take place?,"Forks, Washington"
Where did the fast food chain KFC originate?,Kentucky
What communal area is located at the centre of New York City?,Central Park
"In 1969, humans first set foot where?",The Moon
Where was the 2010 FIFA World Cup held?,South Africa
Where was the game of checkers invented?,Egypt
Where are the original properties in Monopoly from?,"Atlantic City, New Jersey"
Where is the statue 'Christ the Redeemer' located?,"Rio De Janeiro, Brazil"
What is the capital of Australia?,Canberra 
Where is the White House located?,"Washington, D.C."
Where did reggae music originate?,Jamaica
What setting was popular with early sci-fi due to its unknown surface?,Venus
Where is the animated film 'Aladdin' set?,Agrabah
Brexit describes what place's departure from the European Union?,The United Kingdom
Where did NASA's Perseverence Rover land?,"Jezero Crater, Mars"
Where can you find Komodo dragons?,Indonesia
Where is known as the 'Land of Smiles'?,Thailand
Gordon Ramsay's cooking show is named after what place?,"Hell's Kitchen, Manhattan"
What place is known as the 'Land of Fire and Ice'?,Iceland
What is the setting for 'Romeo and Juliet'?,"Verona, Italy"
"In 'The Great Gatsby', where does Gatsby host his parties?",The Gatsby Estate
Where would you find the Mona Lisa?,Louvre Museum
Where is the Grand Canyon located?,Arizona
Where did karaoke originate?,Japan
Will Smith first started acting as 'The Fresh Prince' of where?,Bel-Air
"In 'The Matrix', Neo finds out he's secretly living where?",A computer simulation
"In 'Jurassic Park', where is chosen to be the location of the dinosaur park?",Isla Nublar
Where do 'The Hunger Games' take place?,Panem
It is impossible for a hurricane to pass over where?,The equator
Where would you find the UK Crown Jewels?,The Tower of London
Where can you find the largest known desert?,Antarctica
"In X-Men, where is Xavier's School for Gifted Youngsters?","Westchester County, New York"
Where is the only place that you can find orangutans in the wild?,Borneo and Sumatra
Where is the ancient city of Timbuktu located?,Mali
Where would you find the tallest building?,Dubai
Where was Napoleon once exiled to?,Island of Elba and Island of Saint Helena
Where can you find the world's largest system of waterfalls?,"Zambezi River, Africa"
People from where take the most time to eat meals?,France
What place is often associated with the legend of Dracula?,"Bran Castle, Transylvania"
What was the fabled golden land sought by Spanish conquistadors?,El Dorado
What is the setting for the video game 'Grand Theft Auto: Vice City'?,Vice City
What is the setting for the 'Dune' series by Frank Herbert?,Arrakis
Where is the first level of the video game 'Sonic The Hedgehog' set?,Green Hill Zone
