label,category,question,answer
Round 1,People,During the World Cup who did the President ask FIFA to revoke a green card for?,Folarin Baloguny
Round 2,Places,Kite flying is a professional sport where?,Thailand
Round 3,Things,In 2012 an astronaut took on item to space to do tricks in Zero G. What was it?,A Yo-yo
Bonus Question 1,Places,Where has been booked out of screenings for Nolan's new film The Odyssey for the next month?,IMAX 70mm cinemas
Round 4,People,Who commonly interviews people on the NYC subway asking for their opinions?,Kareem Rahma
Round 5,Places,Due to tour-illness Harry Styles cancelled his show where?,Brazil
Round 6,Things,Rainbows on Venus are not called 'rainbows' they are known as what?,Boots
Bonus Question 2,Things,The air quality in NYC has been bad recently because of something burning in Canada. What is burning?,Trees
Bonus Question 3,People,Who?,
Round 7,Things,What?,
Round 8,Things,What?,
