Who is the patron saint of lovers?,St. Valentine
Who has the most mail addressed to them?,Santa Claus
"Whose cat was sold for $153,000 in an Arizona auction?",Adolf Hitler
Who is considered the 'Fifth Beatle'?,"Pete Best, Brian Epstein, George Martin, Neil Aspinall, Derek Taylor, Stuart Sutcliffe, or Billy Preston"
Who is commonly known as the infamous pirate 'Blackbeard'?,Edward Teach
Who became the figurehead of climate activism in the late 2010's?,Greta Thunberg
Who wrote the first modern English dictionary?,Samuel Johnson
Who popularised the production line?,Henry Ford
Who invented the equation E=mc?,Albert Einstein
"In the case of a tie, who decides the US President?",The US House of Representatives
Who was the first to portray James Bond in film?,Sean Connery
Who is Scooby Doo's best friend?,Shaggy
Who wrote 'The Communist Manifesto'?,Karl Marx and Friedrich Engels
Who invented the 'World Wide Web'?,Tim Berners-Lee
Who assassinated John F. Kennedy (JFK)?,Lee Harvey Oswald
Who invented the Rubik's Cube?,Erno Rubik
Who is the detective in many of Agatha Christie's novels?,Hercule Poirot
Who was the first person to have pizza delivered to them in space?,Yuri Usachov
Who ruled Russia until the February Revolution of 1917?,Tsar Nicholas II
Who makes music under the alias 'Childish Gambino'?,Donald Glover
"In a Dr. Seuss book, who steals Christmas?",The Grinch
Who wrote the musical 'Rent'?,Jonathan Larson
"In 'Little Red Riding Hood', who does the wolf dress up as?",The grandmother
"Who accumulated the first EGOT (Emmy, Grammy, Oscar, and Tony)?",Richard Rodgers
Who founded the Church of Scientology?,L. Ron Hubbard
Who invented the first successful helicopter?,Igor Sikorsky
Who founded the dating app Grindr?,Joel Simkha
Who did the author Edgar Allen Poe marry?,His 13-year-old cousin
"In 2019, who did Forbes name 'The Youngest Self-Made Billionaire Ever'?",Kylie Jenner
Who lives in a pineapple under the sea?,Spongebob Squarepants
Who was the first person to win a Nobel Prize twice?,Marie Curie
Who is murdered in the board game Clue/Cluedo?,Dr. Black / Mr. Boddy
Who was the first ever guest on 'The Tonight Show'?,Lena Horne
"In Greek mythology, who is the god of wine?",Dionysus
Whose mother created the Manhattan cocktail?,Winston Churchill
Who was the first person on the cover of Rolling Stone Magazine?,John Lennon
Who wore a dress made of meat to the 2010 MTV VMAs?,Lady Gaga
Who is the first person to die in 'A Game of Thrones'?,Ser Waymar Royce
Who is the protagonist of the #1 best-selling video game series?,Mario
"In the 1991 film 'The Silence of the Lambs', who played Hannibal Lecter?",Anthony Hopkins
Who is the villain in 'Avengers: InfinityWar'?,Thanos
Who invented the Frisbee?,Walter Frederick Morrison
Who invented the first telephone?,Alexander Graham Bell
Who originated the genre of 'Science Fiction',Mary Shelley with her book 'Frankenstein'
Who painted the ceiling of the Sistine Chapel?,Michelangelo 
Who invented cotton candy/fairy floss?,A dentist (William Morrison)
The 2019 film 'Fighting with My Family' is based on the story of who?,"Saraya Bevis, aka 'Paige'"
Who was the first actor to play Dumbledore in the Harry Potter films?,Richard Harris
Who is famous for paintings of melting clocks?,Salvador Dali
"As a teenager, who starred in the films 'Mean Girls' and 'Freaky Friday'?",Lindsay Lohan
