If you had pogonophobia what would you be afraid of?,Beards
"In a famous fairy tale, what was placed under a bed of 20 mattresses?",A pea
"The famous 'Forrest Gump' quote states that ""Life is like a box of…"" what?",Chocolates
What is the proper tool used to remove a lug nut?,A lug wrench/spanner
What is carried from Greece to the site of the Olympic games?,The Olympic flame
What was originally created to bring hamsters back from the dead?,Microwave
What was stuck in stone that only King Arthur could pull out?,The sword Excalibur
"According to the Bible, God said ""Let there be…"" what?",Light
In Martin Luther King Jr.'s famous speech he declared I have a... what?,Dream
What is Captain America's shield made out of?,Vibranium
What is involved in 20% of car accidents in Sweden?,A moose
"What did Indonesia ban in 1958 for ""stimulating passion?""",Hula hoops
80% of household dust is actually what?,Dead skin
15-20% of what disappear from stores each year?,Supermarket carts/trolleys
A paratrichosic person has extra what?,Hair
"In 'The Last of Us', what infects people turning them into zombies?",Cordyceps fungus
What do callipygian people have?,Well-shaped buttocks
Taste the rainbow is the marketing slogan for what?,Skittles
What gives swimming pools their characteristic odour?,Chlorine
What do you rub to release a genie?,A lamp
"An atom is comprised of protons, neutrons, and what?",Electrons
"In 1798, what was at first considered a hoax when it arrived in England?",The platypus 
A nephrectomy is the surgical removal of what?,A kidney
What is hit over a net in the sport of badminton?,A shuttlecock
"Paired with a hammer, what is used to represent Communism?",Sickle
What famous product did tech company Apple launch in 2007?,The iPhone
What is represented by the symbol 'Na' on the periodic table?,Sodium
What is used to capture creatures in the Pokémon franchise?,A Poké Ball
What was the first toy advertised on television?,Mr. Potato Head
"In the film 'Back to the Future', what is used to travel back in time?",A DeLorean
What is the main ingredient in guacamole?,Avocado
"In 'The Lord of the Rings', what object does the story revolve around?",The One Ring
"In the game of 'Jenga', what do you stack to build the tower?",Wooden blocks
Centaurs are mythical creatures that are half human and half what?,Horse
"Before videogames, Nintendo got started by making what?",Handmade hanafuda playing cards
What is most commonly used to mark a place in a book?,A bookmark
What won the top prize at the 1893 Chicago World’s Fair?,The dishwasher
"In the Greek myth, what did Midas turn everything he touched into?",Gold
What is the symbol for the zodiac sign 'Pisces'?,Two fish
Psycho' was the first movie to show what?,A flushing toilet
"In ancient Rome, what was used as an antidote to all poisons?",Lemons
"In 1634, Holland used what as a form of currency?",Tulip bulbs
"In the film 'Fight Club', what can you find in every scene?",A Starbucks cup
What did Walt Disney have a fear of?,Mice
"In Queensland, Australia, what is only legal for magicians to own?",A rabbit
What did Roman emperor Vespasian tax the trade of?,Urine
What were the first ice hockey pucks made out of?,Frozen cow dung
What is Superman's weakness?,Kryptonite
What is used to measure the intensity of earthquakes?,Seismograph
"In 'The Three Little Pigs', the second pig built their house out of what?",Sticks
