A Wii remote,Gaming controller,Wireless,Motion
A double scoop ice cream,Sweet,Creamy,Cold
Lego bricks,Interlocking,Creativity,Plastic
The quadratic equation,Algebraic,Mathematical,Polynomial
Rattlesnakes,Venomous,Dangerous,Reptile
A sock puppet,Playful,Expressive,Resourceful
A gun,Deadly,Weapon,Firearm
An egg,Protein,Fragile,Breakfast
A Jackson Pollock painting,Abstract,Colorful,Chaos
Legal marijuana,Medicinal,Psychoactive,Relaxing
A peach,Sweet,Juicy,Fuzzy
Mjölnir (Thor's hammer),Powerful,Mythical,Immovable
A unicycle,Balance,One wheel,Circus
A steam train,Railroad,Powerful,Chugging
A Razor scooter,Foldable,Foot-powered,Commute
A pair of roller skates,Wheels,Skating,Balance
The Popemobile,Vatican,Transportation,Bulletproof
A cold pizza,Chewy,Stale,Microwaveable?
Noise-cancelling headphones,Audio,Isolation,Calming
A bag of coffee beans,Aromatic,Caffeine,Roasted
A parachute,Skydiving,Safety,Canopy
A garden gnome,Ceramic,Decorative,Pointy hat
Cans of beans,Versatile,Long-lasting,Budget-friendly
Laundry pods,Detergent,Convenient,Cleaning
A vintage typewriter,Antique,Mechanical,Writing
Scented gel pens,Writing,Fragrance,Colors
Crocs,Casual,Comfortable,Rubber
Heelys,Sneakers,Wheels,Rolling
Skinny jeans,Tight,Fashion,Denim
A portable speaker,Versatile,Bluetooth,Party
An Oscar trophy,Award,Film,Acting
A fishing net,Catch,Trawl,Mesh
Tight leather superhero suits,Costume,Cosplay,Comic books
The Nokia 3310 phone,Classic,Durable,Brick
A USB stick,Portable,Storage,Transfer
A waterbed,Liquid filled,Wavy,Comfortable
A marshmallow,Roasted,Squishy,Fluffy
Blue hair dye,Vibrant,Colorful,Fashionable
A loaf of bread,Bakery,Crusty,Carbohydrate
Airpods,Wireless,Earbuds,Bluetooth
Fidget spinners,Toy,Spinning,Stress relief
An assortment of crystals and gems,Healing,Spirituality,Gemstones
A handcuffed briefcase,Valuable,Suspicious,Secure
A Polaroid camera,Instant,Photography,Vintage
A bottle of bleach,Cleaner,Whitener,Disinfectant
A fishing rod,Angling,Catching,Reel
A bottle of whiskey,Alcohol,Distilled,Aged
A magnifying glass,Lens,Enlarge,Inspection
A bag of marbles,Glass,Round,Collectable
A bottle of hot sauce,Spicy,Sweat-inducing,Condiment
A pogo stick,Bounce,Jump,Spring
A statue of Buddha,Buddhism,Enlightenment,Meditation
A gavel,Auction,Justice,Wooden
"A dress with 
pockets",Fashionable,Practical,Stylish
The Statue of David,Marble,Sculpture,Renaissance
A bag of ice,Frozen,Solid,Drinks
A camping chair,Foldable,Portable,Lightweight
A deck of tarot cards,Fortune,Divination,Symbolism
A box of donuts,Sweet,Assorted,Glazed
A Golden Retriever puppy,Playful,Fluffy,Loyal
A missing puzzle piece,Incomplete,Frustrating,Elusive
A giant inflatable rubber duck,Quacky,Pool,Yellow
A samurai sword,Sharp,Blade,Japanese
A magic wand,Fantasy,Spells,Enchanting
A houseplant,Leafy,Thriving,Oxygenating
A box of kittens,Cute,Cuddly,Playful
A box of crayons,Colors,Drawing,Wax
A suit of armour,Medieval,Knight,Metal
A 30-second sand timer,Limited,Stressful,Classic
A kaleidoscope,Colorful,Mirrors,Patterns
Stilts,Walking,Circus,Tall
A book of puns,Novel humour,A real page-turner,Punny
An Eiffel Tower keychain,Paris,Souvenir,Miniature
A crystal ball,Fortune,Future,Mystery
A bundle of balloons,Colorful,Celebration,Party
A megaphone,Loud,Amplify,Voice
A smooth rock,Sleek,Serene,Satisfying
A pocket watch,Time,Vintage,Mechanical
A cowboy hat,Western,Style,Rodeo
A tin of mints,Breath freshener,Small,Metal
A map of the world,Earth,Countries,Geography
A set of dominoes,Tiles,Dots,Strategy
A harmonica,Music,Mouth,Blues
A VHS tape,Video,Cassette,Obsolete
Glow stick goo,Neon,Chemical,Night
Confetti,Celebration,Sparkling,Paper
Bongos,Small,Percussion,Music
A porcelain teapot,Spout,Fragile,Handle
A compass,Directional,Precise,Navigation
A lava lamp,Retro,Liquid,Glowing
A bouquet of flowers,Colorful,Fragrant,Thoughtful
A toothbrush,Oral hygiene,Bristles,Fresh
A treasure map,Pirates,Mystery,Adventure
A beach ball,Inflatable,Summer,Bouncy
Binoculars,Observation,Portable,Magnification
A tin of caviar,Gourmet,Expensive,Fish eggs
A jar of pickles,Cucumber,Vinegar,Sour
A pocketknife,Blade,Foldable,Utility
