Hogwarts,Magic,School,Dangerous
Stonehenge,Mysterious,Megaliths,Druids
The Eiffel Tower,Iconic,Parisian,Iron
New Zealand,Scenic,Adventure,Kiwi
A local swimming pool,Summer,Relaxation,Exercise
A peanut-free zone,Allergy,Safety,Accommodation
Las Vegas,Casinos,Entertainment,Neon
A bat/bar mitzvah ceremony,Jewish,Coming-of-age,Ritual
Tokyo Tower,Observation,Landmark,Illuminated
The Panama Canal,Shipping,Engineering,Waterway
Purgatory,Afterlife,Suffering,Redemption
Wakanda,Vibranium,Hidden,Black Panther
The Sahara Desert,Vast,Arid,Sand dunes
The Bermuda Triangle,Mysterious,Disappearances,Atlantic
The Batcave,Secret,Hideout,Batmobile
Wonderland,Whimsical,Imaginary,Tea party
Your imagination,Creative,Limitless,Fantasy
A standard size American football field,360 feet (110 m) long,160 feet (49 m) wide,Grassy
The Sydney Opera  House,Architectural,Performances,Harbor
Uluru,Sacred,Indigenous  Australians,Red
The woods,Serene,Natural,Adventure
The Museum of  Natural History,Educational,Fascinating,Dinosaurs
Grandma's house,Cozy,Nostalgic,Memories
Notre-Dame,Gothic,Cathedral,Iconic
Willy Wonka's Chocolate Factory,Candy,Golden ticket,Oompa-Loompas
The 'friend zone',Platonic,Awkward,Rejection
A shoe store,Footwear,Variety,Fashionable
A retirement home,Elderly,Care,Support
Kindergarten,Children,Learning,Playful
Shrek's swamp,Isolated,Ogre,Donkey
A dental clinic,Drill,Filling,Anesthesia
A bee farm,Buzzing,Honey,Pollen
A quaint little cottage in the country,Cozy,Rustic,Charm
A bakery,Fresh,Aroma,Pastries
A nail salon,Manicure,Pedicure,Pampering
Church,Spiritual,Worship,Community
A damp basement,Musty,Creepy,Storage
A 2-star restaurant,Affordable,Mediocre,Casual
Narnia,Fantasy,Lion,Adventure
Madagascar,Lemurs,Rainforest,Unique
A ninja dōjō,Training,Secretive,Ninjutsu
The Great Barrier Reef,Coral,Marine life,Diverse
A drive-in theatre/cinema,Outdoor,Movies,Nostalgic
The Great Red Spot on Jupiter,Planet,Storm,Astronomical
Mount Everest,Summit,Majestic,Challenging
The United Nations cafeteria,Social,Diverse,Hunger
A punk rock concert,Loud,Energetic,Mosh pit
A mad scientist's laboratory,Dark,Scientific,Macabre
Alcatraz,Prison,Island,Isolated
Niagara Falls,Magnificent,Powerful,Scenic
An igloo,Inuit,Arctic,Snow house
Pompeii,Ancient,Buried,Archaeology
A red light district,Taboo,Nightlife,Sensual
The Taj Mahal,Romantic,Grand,Ornate
The Hollywood Sign,Glamorous,Iconic,Filmmaking
The Colosseum,Historic,Majestic,Gladiators
The Virgin Islands,Tropical,Scenic,Secluded
A musty motel,Dingy,Unsanitary,Unwelcoming
A gold mine,Underground,Dangerous,Cold
A Renaissance faire,Historical,Festive,Costumed
The Great Sphinx,Ancient,Monument,Pharaohs
The Leaning Tower of Pisa,Architecture,Tilted,Marble
A public playground,Jungle gym,Swing sets,Monkey bars
The Korean Demilitarized Zone,Border,Conflict,Armistice
Rapa Nui (Easter Island),Moai statues,Monolithic heads,Polynesia
Trafalgar Square,Monuments,London,Nelson's Column
The Kremlin,Powerful,Government,Red Square
Oxford University,Prestigious,Academic,Historic
Yellowstone National Park,Natural,Scenic,Wildlife
The Land of Oz,Enchanting,Magical,Whimsical
A haunted mansion,Spooky,Decrepit,Gothic
The Serengeti,Vast,Wildlife,Savannah
The Amazon Rainforest,Biodiversity,'Earth's lungs',Ecotourism
The Golden Gate Bridge,Landmark,Suspension,San Francisco
Loch Ness,Legend,Monster,Scotland
The Vatican,Religion,Catholicism,Pope
Machu Picchu,Inca,Ruins,Mountains
A dragon's cave,Fantasy,Treasure,Lair
The Lost City of Atlantis,Mythical,Sunken,Civilization
A lighthouse,Beacon,Seafaring,Navigation
The Himalayan Mountains,Majestic,Peaks,Sherpas
The Andromeda galaxy,Spiral,Massive,Distant
A hobbit-hole,Cozy,Quaint,Shire
Area 51,Secretive,Government,Aliens
The Titanic,Tragic,Luxurious,Sinking
A desert island,Secluded,Tropical,Castaway
The Wild West,Cowboys,Saloons,Sheriff
The North Pole,Frozen,Arctic,Santa Claus
Rapunzel's tower,Tall,Isolated,Impenetrable
A pirate ship,Seafaring,Swashbuckling,Plunder
A space station,Orbital,Futuristic,Isolated
A public library,Knowledge,Book borrowing,Peaceful
An alternate universe,Parallel,Surreal,Mysterious
A gas/petrol station,Refuelling,Convenience,Oil
Neverland,Peter Pan,Fairies,Adventures
Disneyland,Magical,Amusement,Rides
The beach,Sun,Waves,Sand
A bowling alley,Heavy balls,Pins,Lanes
